player,position,team,opponent,salary
Isaiah Likely,TE,BAL,LAC,3900
Chiefs,DST,KC,CAR,3900
Jahan Dotson,WR,PHI,LAR,3900
Zach Ertz,TE,WAS,DAL,3800
Trey Palmer,WR,TB,NYG,3800
DJ Turner,WR,LV,DEN,3800
Jonathan Mingo,WR,DAL,WAS,3700
Lions,DST,DET,IND,3700
Jalen Coker,WR,CAR,KC,3700
Tutu Atwell,WR,LAR,PHI,3700
Pat Freiermuth,TE,PIT,CLE,3700
Noah Fant,TE,SEA,ARI,3700
Texans,DST,HOU,TEN,3600
Cole Kmet,TE,CHI,MIN,3600
Jalen Nailor,WR,MIN,CHI,3600
Greg Dortch,WR,ARI,SEA,3600
Kendrick Bourne,WR,NE,MIA,3600
Troy Franklin,WR,DEN,LV,3500
Justin Watson,WR,KC,CAR,3500
Commanders,DST,WAS,DAL,3500
Steelers,DST,PIT,CLE,3500
Kayshon Boutte,WR,NE,MIA,3500
Will Dissly,TE,LAC,BAL,3500
Dalton Schultz,TE,HOU,TEN,3500
Jordan Whittington,WR,LAR,PHI,3500
Tyler Boyd,WR,TEN,HOU,3500
Vikings,DST,MIN,CHI,3400
LilJordan Humphrey,WR,DEN,LV,3400
JaTavion Sanders,TE,CAR,KC,3400
Kalif Raymond,WR,DET,IND,3400
Tim Patrick,WR,DET,IND,3400
Robert Woods,WR,HOU,TEN,3400
Van Jefferson,WR,PIT,CLE,3300
Buccaneers,DST,TB,NYG,3300
Nelson Agholor,WR,BAL,LAC,3300
Jalin Hyatt,WR,NYG,TB,3300
Tyler Higbee,TE,LAR,PHI,3300
Odell Beckham,WR,MIA,NE,3300
KaVontae Turpin,WR,DAL,WAS,3300
Brock Wright,TE,DET,IND,3300
Olamide Zaccheaus,WR,WAS,DAL,3300
Broncos,DST,DEN,LV,3200
David Moore,WR,CAR,KC,3200
Marvin Mims,WR,DEN,LV,3200
DJ Chark,WR,LAC,BAL,3200
Luke McCaffrey,WR,WAS,DAL,3200
AJ Barner,TE,SEA,ARI,3200
Ryan Miller,WR,TB,NYG,3200
Zay Jones,WR,ARI,SEA,3200
