player,position,team,opponent,salary
Ameer Abdullah,RB,LV,LAC,4500    
Tyler Boyd,WR,TEN,CHI,4500    
Eric Gray,RB,NYG,MIN,4500    
Ray Davis,RB,BUF,ARI,4500    
Miles Sanders,RB,CAR,NO,4500    
Darius Slayton,WR,NYG,MIN,4400    
Rashid Shaheed,WR,NO,CAR,4400    
Roschon Johnson,RB,CHI,TEN,4400    
Pat Freiermuth,TE,PIT,ATL,4400    
Kenny McIntosh,RB,SEA,DEN,4400    
MarShawn Lloyd,RB,GB,PHI,4400    
Jaleel McLaughlin,RB,DEN,SEA,4300    
Taysom Hill,TE,NO,CAR,4300    
Michael Wilson,WR,ARI,BUF,4300    
Josh Reynolds,WR,DEN,SEA,4200    
Hunter Henry,TE,NE,CIN,4200    
Chris Evans,RB,CIN,NE,4200    
Darnell Mooney,WR,ATL,PIT,4200    
Jauan Jennings,WR,SF,NYJ,4100    
Quentin Johnston,WR,LAC,LV,4100    
WanDale Robinson,WR,NYG,MIN,4100    
Kevin Harris,RB,NE,CIN,4100    
Cole Kmet,TE,CHI,TEN,4100    
Craig Reynolds,RB,DET,LAR,4100    
Rome Odunze,WR,CHI,TEN,4000    
Adam Prentice,RB,NO,CAR,4000    
Patrick Ricard,RB,BAL,KC,4000    
Avery Williams,RB,ATL,PIT,4000    
Alec Pierce,WR,IND,HOU,4000    
Noah Fant,TE,SEA,DEN,4000    
Kyle Juszczyk,RB,SF,NYJ,4000    
Travis Homer,RB,CHI,TEN,4000    
Alec Ingold,RB,MIA,JAX,4000    
Ronnie Rivers,RB,LAR,DET,4000    
Rasheen Ali,RB,BAL,KC,4000    
Will Shipley,RB,PHI,GB,4000    
Dare Ogunbowale,RB,HOU,IND,4000    
Michael Burton,RB,DEN,SEA,4000    
Elijah Mitchell,RB,SF,NYJ,4000    
Desmond Ridder,QB,ARI,BUF,4000    
Jeff Wilson,RB,MIA,JAX,4000    
Hendon Hooker,QB,DET,LAR,4000    
Clyde Edwards-Helaire,RB,KC,BAL,4000    
AJ Dillon,RB,GB,PHI,4000    
Trayveon Williams,RB,CIN,NE,4000    
DJ Chark,WR,LAC,LV,4000    
Pierre Strong,RB,CLE,DAL,4000    
Reggie Gilliam,RB,BUF,ARI,4000    
Jaylen Wright,RB,MIA,JAX,4000    
Stetson Bennett,QB,LAR,DET,4000    
Josh Johnson,QB,BAL,KC,4000    
Sean Clifford,QB,GB,PHI,4000    
Khari Blasingame,RB,CHI,TEN,4000    
CJ Ham,RB,MIN,NYG,4000    
Hunter Luepke,RB,DAL,CLE,4000    
DeeJay Dallas,RB,ARI,BUF,4000    
Keilan Robinson,RB,JAX,MIA,4000    
Chris Rodriguez,RB,WAS,TB,4000    
Isaiah Davis,RB,NYJ,SF,4000    
Cowboys,DST,DAL,CLE,3900    
Trenton Irwin,WR,CIN,NE,3900    
JaLynn Polk,WR,NE,CIN,3900    
Chig Okonkwo,TE,TEN,CHI,3900    
Greg Dortch,WR,ARI,BUF,3900    
Demarcus Robinson,WR,LAR,DET,3900    
Odell Beckham,WR,MIA,JAX,3800    
Adonai Mitchell,WR,IND,HOU,3800    
Bengals,DST,CIN,NE,3800    
Nelson Agholor,WR,BAL,KC,3800    
Cade Otton,TE,TB,WAS,3800    
Juwan Johnson,TE,NO,CAR,3700    
Cedrick Wilson,WR,NO,CAR,3700    
Jermaine Burton,WR,CIN,NE,3700    
Marquez Valdes-Scantling,WR,BUF,ARI,3700    
Saints,DST,NO,CAR,3700    
Luke Musgrave,TE,GB,PHI,3600    
Zach Ertz,TE,WAS,TB,3600    
Elijah Moore,WR,CLE,DAL,3600    
Vikings,DST,MIN,NYG,3600    
Rashod Bateman,WR,BAL,KC,3600    
AT Perry,WR,NO,CAR,3600    
Van Jefferson,WR,PIT,ATL,3600    
49ers,DST,SF,NYJ,3500    
Tre Tucker,WR,LV,LAC,3500    
Jonnu Smith,TE,MIA,JAX,3500    
KJ Osborn,WR,NE,CIN,3500    
Buccaneers,DST,TB,WAS,3500    
Tucker Kraft,TE,GB,PHI,3500    
Marvin Mims,WR,DEN,SEA,3500    
Treylon Burks,WR,TEN,CHI,3400    
Seahawks,DST,SEA,DEN,3400    
Dawson Knox,TE,BUF,ARI,3400    
Jonathan Mingo,WR,CAR,NO,3400    
Jalen Tolbert,WR,DAL,CLE,3400    
Bears,DST,CHI,TEN,3400    
Gerald Everett,TE,CHI,TEN,3400    
Trey Palmer,WR,TB,WAS,3400    
Laviska Shenault,WR,SEA,DEN,3300    
Falcons,DST,ATL,PIT,3300    
Giants,DST,NYG,MIN,3300    
Bo Melton,WR,GB,PHI,3300    
Kalif Raymond,WR,DET,LAR,3300    
Josh Oliver,TE,MIN,NYG,3300    
Xavier Gipson,WR,NYJ,SF,3300    
Jalen McMillan,WR,TB,WAS,3300    
Parker Washington,WR,JAX,MIA,3300    
Isaiah Likely,TE,BAL,KC,3300    
Luke McCaffrey,WR,WAS,TB,3300    
Jelani Woods,TE,IND,HOU,3300    
Dolphins,DST,MIA,JAX,3200    
Justin Watson,WR,KC,BAL,3200    
Durham Smythe,TE,MIA,JAX,3200    
Tutu Atwell,WR,LAR,DET,3200    
Nick Westbrook-Ikhine,WR,TEN,CHI,3200    
Trent Sherfield,WR,MIN,NYG,3200    
Roman Wilson,WR,PIT,ATL,3200    
Brandon Powell,WR,MIN,NYG,3200    
Jets,DST,NYJ,SF,3200    
Austin Hooper,TE,NE,CIN,3100    
KaVontae Turpin,WR,DAL,CLE,3100    
Michael Mayer,TE,LV,LAC,3100    
KhaDarel Hodge,WR,ATL,PIT,3100    
Will Dissly,TE,LAC,LV,3100    
Calvin Austin,WR,PIT,ATL,3100    
Jalin Hyatt,WR,NYG,MIN,3100    
Browns,DST,CLE,DAL,3100    
Colby Parkinson,TE,LAR,DET,3100    
Robert Woods,WR,HOU,IND,3100    
David Bell,WR,CLE,DAL,3100    
Adam Trautman,TE,DEN,SEA,3100    
River Cracraft,WR,MIA,JAX,3000    
James Proche,WR,CLE,DAL,3000    
Hayden Hurst,TE,LAC,LV,3000    
Ainias Smith,WR,PHI,GB,3000    
Tyler Scott,WR,CHI,TEN,3000    
Donovan Peoples-Jones,WR,DET,LAR,3000    
Anthony Gould,WR,IND,HOU,3000    
Mecole Hardman,WR,KC,BAL,3000    
Jalen Nailor,WR,MIN,NYG,3000    
Allen Lazard,WR,NYJ,SF,3000    
Olamide Zaccheaus,WR,WAS,TB,3000    
Chris Moore,WR,ARI,BUF,3000    
Andrei Iosivas,WR,CIN,NE,3000    
Braxton Berrios,WR,MIA,JAX,3000    
Jaelon Darden,WR,CLE,DAL,3000    
Jalen Guyton,WR,LV,LAC,3000    
Johnny Wilson,WR,PHI,GB,3000    
JhaQuan Jackson,WR,TEN,CHI,3000    
Jordan Whittington,WR,LAR,DET,3000    
Ashton Dulin,WR,IND,HOU,3000    
Deonte Harty,WR,BAL,KC,3000    
Isaiah McKenzie,WR,NYG,MIN,3000    
Trent Taylor,WR,SF,NYJ,3000    
Greg Dulcich,TE,DEN,SEA,3000    
Ray-Ray McCloud,WR,ATL,PIT,3000    
Javon Baker,WR,NE,CIN,3000    
Devin Duvernay,WR,JAX,MIA,3000    
Jamari Thrash,WR,CLE,DAL,3000    
DJ Turner,WR,LV,LAC,3000    
Tyler Conklin,TE,NYJ,SF,3000    
Bills,DST,BUF,ARI,3000    
Sterling Shepard,WR,TB,WAS,3000    
Jalen Reagor,WR,NE,CIN,3000    
Tylan Wallace,WR,BAL,KC,3000    
Equanimeous St Brown,WR,NO,CAR,3000    
Jacob Cowing,WR,SF,NYJ,3000    
Troy Franklin,WR,DEN,SEA,3000    
Parris Campbell,WR,PHI,GB,3000    
Collin Johnson,WR,CHI,TEN,3000    
Steven Sims,WR,HOU,IND,3000    
Ryan Flournoy,WR,DAL,CLE,3000    
Derius Davis,WR,LAC,LV,3000    
Irvin Charles,WR,NYJ,SF,3000    
Mack Hollins,WR,BUF,ARI,3000    
Jamison Crowder,WR,WAS,TB,3000    
Mike Gesicki,TE,CIN,NE,3000    
Bub Means,WR,NO,CAR,3000    
Ricky Pearsall,WR,SF,NYJ,3000    
Jake Bobo,WR,SEA,DEN,3000    
Britain Covey,WR,PHI,GB,3000    
DeAndre Carter,WR,CHI,TEN,3000    
John Metchie,WR,HOU,IND,3000    
Chiefs,DST,KC,BAL,3000    
Daniel Bellinger,TE,NYG,MIN,3000    
Malachi Corley,WR,NYJ,SF,3000    
Zach Pascal,WR,ARI,BUF,3000    
Dyami Brown,WR,WAS,TB,3000    
Charlie Jones,WR,CIN,NE,3000    
Kylen Granson,TE,IND,HOU,2900    
Tanner Hudson,TE,CIN,NE,2900    
Davis Allen,TE,LAR,DET,2900    
Steelers,DST,PIT,ATL,2900    
Chargers,DST,LAC,LV,2900    
Eagles,DST,PHI,GB,2900    
Johnny Mundt,TE,MIN,NYG,2900    
Titans,DST,TEN,CHI,2800    
Elijah Higgins,TE,ARI,BUF,2800    
Lions,DST,DET,LAR,2800    
Raiders,DST,LV,LAC,2800    
Brevin Jordan,TE,HOU,IND,2800    
Drew Sample,TE,CIN,NE,2700    
Ravens,DST,BAL,KC,2700    
Ben Sinnott,TE,WAS,TB,2700    
Jaguars,DST,JAX,MIA,2700    
Texans,DST,HOU,IND,2700    
Lucas Krull,TE,DEN,SEA,2600    
Noah Gray,TE,KC,BAL,2600    
Robert Tonyan,TE,MIN,NYG,2600    
Colts,DST,IND,HOU,2600    
Patriots,DST,NE,CIN,2600    
Brock Wright,TE,DET,LAR,2600    
Packers,DST,GB,PHI,2600    
Mitchell Wilcox,TE,NE,CIN,2500    
Tommy Tremble,TE,CAR,NO,2500    
Pharaoh Brown,TE,SEA,DEN,2500    
Kenny Yeboah,TE,NYJ,SF,2500    
Hunter Long,TE,LAR,DET,2500    
Josh Whyle,TE,TEN,CHI,2500    
Will Mallory,TE,IND,HOU,2500    
Kevin Rader,TE,NO,CAR,2500    
James Winchester,TE,KC,BAL,2500    
John Bates,TE,WAS,TB,2500    
Darnell Washington,TE,PIT,ATL,2500    
Jaheim Bell,TE,NE,CIN,2500    
Julian Hill,TE,MIA,JAX,2500    
Harrison Bryant,TE,LV,LAC,2500    
Jeremy Ruckert,TE,NYJ,SF,2500    
Commanders,DST,WAS,TB,2500    
Quintin Morris,TE,BUF,ARI,2500    
Mo Alie-Cox,TE,IND,HOU,2500    
Foster Moreau,TE,NO,CAR,2500    
Jared Wiley,TE,KC,BAL,2500    
Broncos,DST,DEN,SEA,2500    
Ben Sims,TE,GB,PHI,2500    
Patrick Scales,TE,CHI,TEN,2500    
Brenton Strange,TE,JAX,MIA,2500    
Andrew DePaola,TE,MIN,NYG,2500    
Brayden Willis,TE,SF,NYJ,2500    
Devin Culp,TE,TB,WAS,2500    
Tip Reiman,TE,ARI,BUF,2500    
Cal Adomitis,TE,CIN,NE,2500    
JaTavion Sanders,TE,CAR,NO,2500    
Charlie Kolar,TE,BAL,KC,2500    
Mitchell Fraboni,TE,DEN,SEA,2500    
Grant Calcaterra,TE,PHI,GB,2500    
Rams,DST,LAR,DET,2500    
Marcedes Lewis,TE,CHI,TEN,2500    
Luke Farrell,TE,JAX,MIA,2500    
Theo Johnson,TE,NYG,MIN,2500    
Jordan Akins,TE,CLE,DAL,2500    
Payne Durham,TE,TB,WAS,2500    
Ross Dwelley,TE,ATL,PIT,2500    
Erick All,TE,CIN,NE,2500    
Ian Thomas,TE,CAR,NO,2500    
Brady Russell,TE,SEA,DEN,2500    
Anthony Firkser,TE,NYJ,SF,2500    
Shane Zylstra,TE,DET,LAR,2500    
Nick Vannett,TE,TEN,CHI,2500    
Cade Stover,TE,HOU,IND,2500    
Zach Wood,TE,NO,CAR,2500    
Luke Schoonmaker,TE,DAL,CLE,2500    
Tyler Ott,TE,WAS,TB,2500    
Charlie Woerner,TE,ATL,PIT,2500    
Panthers,DST,CAR,NO,2400    
Cardinals,DST,ARI,BUF,2400    
